# KTU 1.1 II:1						
126010	nšm	nš(m/m	nšm	n. m. pl. abs. nom.	people	
126011	w	w	w	conj.	and	
126012	l	l(I)	l (I)	prep.	to	
126013	tbn	!t!bn(y[:w	/b-n-y/	vb G prefc. 3 m. pl.	to build	
126014	hmlt	hml(t/t=	hmlt	n. f. pl. cstr. nom.	multitude	
126015	arṣ	arṣ/	ảrṣ	n. f. sg. abs. gen.	earth	
# KTU 1.1 III:16						
126016	at	at(I)	ảt (I)	pers. pn.	you	
126017	w	w	w	conj.	2) explanatory conj.	
126018	ank	ank	ảnk	pers. pn.	I	
126019	ibġyh	!(ʔ&i!bġy[+h	/b-ġ-y/	vb G prefc. 1 c. sg.	to reveal	
# KTU 1.1 III:17						
126020	w	w	w	conj.	and	
126021	yˤn	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb G prefc. 3 m. sg.	to answer	
126022	kṯr	kṯr(III)/	kṯr (III)	DN/element sg. abs. nom.	Koṯaru/Kothar	
126023	w	w	w	conj.	and	
126024	ḫss	ḫss/	ḫss	DN/element sg. abs. nom.	Ḫasisu/Khasis	
126025	lk	l(I)+k	l (I)	prep.	to	
126026	lk	l(I)+k	l (I)	prep.	to	
126027	ˤnn	ˤn(I)&n/	ʕn (I)	n. f. abs. nom.	eye	
126028	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
# KTU 1.1 III:18						
126029	atm	at(I)&m	ảt (I)	pers. pn.	you	
126030	bštm	bš[tm	/b-š/	vb G suffc. 2 c. pl.	to go slowly, be late	
126031	w	w	w	conj.	and	
126032	an	an(I)	ản (I)	pers. pn.	I	
126033	šnt	šn(t(I)/t	šnt (I)	n. f. sg. abs. nom.	year	
126034	b	b	b	prep.	in	
126035	kptr	kptr/	kptr	TN sg. abs. gen.	Crete	
# KTU 1.1 III:19						
126036	l	l(I)	l (I)	prep.	to	
126037	rḥq	rḥq/	rḥq	adj. m. sg. abs. gen.	distant	
126038	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. nom.	god	
126039	ḥkpt	ḥkpt/	ḥkpt	TN sg. abs. gen.	mythical	
126040	l	l(I)	l (I)	prep.	to	
126041	rḥq	rḥq/	rḥq	adj. m. sg. abs. gen.	distant	
126042	ilnym	ilny/m	ỉlny	adj. m. pl. abs. gen.	divine one	
# KTU 1.1 III:20						
126043	ṯn	ṯn(III)/	ṯn (III)	n. m. sg. cstr. nom.	crimson (cloth, wool, purple)	
126044	mṯpdm	mṯpd/m	mṯpd	n. m. pl. abs. gen.	layer	
126045	tḥt	tḥt(I)	tḥt (I)	prep.	under	
126046	ˤnt	ˤn(I)/t	ʕn (I)	n. f. sg. cstr. gen.	eye	
126047	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. gen.	earth	
126048	ṯlṯ	ṯlṯ(V)/	ṯlṯ (V)	n. m. sg. cstr. gen.	copper	
126049	mtḥ	mtḥ/	mtḥ	n. m. pl. cstr. gen.	to be long	
# KTU 1.1 III:21						
126050	ġyrm	ġyr/m	ġyr	n. m. pl. abs. gen.	depth	
126051	idk	idk	ỉdk	narrative adv. functor	then	
126052	l	l(III)	l (III)	functor	certainly	
126053	ytn	!y!(ytn[	/y-t-n/	vb G prefc. 3 m. pl.	to give	
